"Data Source","World Development Indicators",

"Last Updated Date","2015-07-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014",
"Aruba","ABW","Mobile cellular subscriptions","IT.CEL.SETS","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","","","1718","3000","3402","5380","12000","15000","53000","61800","69952","98389","103417","109030","113586","120806","128000","131800","","135000","138800","139700",
"Andorra","AND","Mobile cellular subscriptions","IT.CEL.SETS","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","770","780","784","2825","5488","8618","14117","20600","23543","29429","32790","51893","58366","64560","69004","63503","64202","64549","65495","65044","63865","63931","66241",
"Afghanistan","AFG","Mobile cellular subscriptions","IT.CEL.SETS","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25000","200000","600000","1200000","2520366","4668096","7898909","10500000","13000000","17558265","19520813","21588228","23423741",
"Angola","AGO","Mobile cellular subscriptions","IT.CEL.SETS","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1100","1824","1994","3298","7052","9820","24000","25806","75000","140000","350000","740000","1611118","3054620","4961536","6773356","8109421","9403365","12073218","12785109","13285198","14052558",
"Albania","ALB","Mobile cellular subscriptions","IT.CEL.SETS","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2300","3300","5600","11008","29791","392650","851000","1100000","1259590","1530244","1909885","2322436","1859632","2463741","2692372","3100000","3500000","3685983","3359654",
"Arab World","ARB","Mobile cellular subscriptions","IT.CEL.SETS","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","2330","3564","4936","7976","20756","33793","39447","58750","88618","129904","152281","199350","263401","501551","921229","1616551","2523542","4105508","9035241","16679594","25275663","35121269","52132873","84854521","125958922","174488139","214062549","265270824","312247800","351957968","381641858","407704505","412128134",
"United Arab Emirates","ARE","Mobile cellular subscriptions","IT.CEL.SETS","","","","","","","","","","","","","","","","","","","","","","","2330","3564","4936","7924","11191","13711","13823","24946","33578","43008","48919","70586","91488","128968","193834","309373","493278","832267","1428115","1909303","2428071","2972331","3683117","4534143","5519293","7731508","9357735","10671878","10926019","11727401","13775252","16063547","16819024",
"Argentina","ARG","Mobile cellular subscriptions","IT.CEL.SETS","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2300","12000","25000","46590","112000","241163","405395","667020","2009073","2670862","3848869","6487950","6741791","6566740","7842233","13512383","22156426","31510390","40401771","46508774","52482780","57082298","60722729","64327647","67361515","66356509",
"Armenia","ARM","Mobile cellular subscriptions","IT.CEL.SETS","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","300","5000","7831","8161","17486","25504","71349","114379","203309","318044","1259762","1876411","1442000","2191500","3865354","3211215","3322837","3346275","3459137",
"American Samoa","ASM","Mobile cellular subscriptions","IT.CEL.SETS","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0","700","900","1200","1250","1300","1400","1500","1800","1992","2156","2036","2100","2250","","","","","","","","","","",
"Antigua and Barbuda","ATG","Mobile cellular subscriptions","IT.CEL.SETS","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","","","","","","1300","1400","1500","8500","22000","25000","38205","46100","54000","86000","110177","112381","136592","134925","167970","176008","127381","114358","109100",
"Australia","AUS","Mobile cellular subscriptions","IT.CEL.SETS","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","4423","31622","94529","184943","291459","497000","690000","1220000","2242000","3990000","4578000","4918000","6315000","8562000","11132000","12670000","14347000","16480000","18420000","19760000","21260000","22120000","22200000","22500000","23789000","24338000","24940000","31010000",
"Austria","AUT","Mobile cellular subscriptions","IT.CEL.SETS","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","9762","19104","26223","36904","50721","73698","115402","172453","220859","278199","383535","598708","1159700","2292900","4250393","6117000","6541000","6736000","7274000","7992000","8665000","9281000","9912000","10816000","11434000","12241000","13022578","13588000","13272000","12952605",
"Azerbaijan","AZE","Mobile cellular subscriptions","IT.CEL.SETS","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","500","6000","17000","40000","65000","370000","420400","730000","794200","1057100","1456523","2242000","3323500","4519000","6548000","7757120","9100113","10120105","10125200","10130102","10552520",
"Burundi","BDI","Mobile cellular subscriptions","IT.CEL.SETS","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","353","378","564","561","619","620","800","16320","33416","52000","64000","100560","153000","200000","270000","480584","920749","1678029","1914586","2247126","2536831","3193257",
"Belgium","BEL","Mobile cellular subscriptions","IT.CEL.SETS","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","3798","7223","19154","30791","42880","51420","61460","67771","128071","235258","478172","974494","1756287","3186602","5629000","7697000","8101777","8605834","9131705","9604695","9847375","10738121","11341704","11775240","12154041","12495934","12313375","12315217","12734724",
